scale_code,scale_name,question_no,question_text_cn,dimension,reverse_score,option_group,period,text_status
PHQ9,PHQ-9 患者健康问卷抑郁量表,3,入睡困难、睡不安稳，或睡得过多,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,4,感到疲倦或缺少精力,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,5,食欲不振或吃得过多,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,6,觉得自己很糟糕，或觉得自己失败、让自己或家人失望,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,7,难以集中注意力，例如看书、看电视或学习工作,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,8,动作或说话变慢到别人可能察觉，或相反地坐立不安、动来动去,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
PHQ9,PHQ-9 患者健康问卷抑郁量表,9,出现过不如死了或伤害自己的念头,depression,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
GAD7,GAD-7 广泛性焦虑量表,1,感到紧张、焦虑或坐立不安,anxiety,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
GAD7,GAD-7 广泛性焦虑量表,2,无法停止或控制担忧,anxiety,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
GAD7,GAD-7 广泛性焦虑量表,3,对各种事情担心得过多,anxiety,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
GAD7,GAD-7 广泛性焦虑量表,4,很难放松下来,anxiety,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
GAD7,GAD-7 广泛性焦虑量表,5,坐立不安，以至于难以安静坐着,anxiety,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
GAD7,GAD-7 广泛性焦虑量表,6,容易烦躁或易怒,anxiety,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
GAD7,GAD-7 广泛性焦虑量表,7,感到好像会发生可怕的事情,anxiety,False,PHQ_GAD_0_3,过去两周,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,1,我感到情绪低落、忧郁,depression,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,2,我早晨的心情相对较好,positive_mood,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,3,我容易哭或想哭,depression,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,4,我夜间睡眠不好,sleep,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,5,我的食欲和平时差不多,appetite,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,6,我仍能享受与他人的亲密或社交互动,interest,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,7,我觉得体重有所下降,somatic,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,8,我有便秘或胃肠不适问题,somatic,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,9,我的心跳比平时快,anxiety_somatic,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,10,我无缘无故感到疲劳,fatigue,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,11,我的头脑像平时一样清楚,cognition,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,12,我做事情像平时一样容易,function,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,13,我感到坐立不安，难以保持平静,agitation,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,14,我对未来抱有希望,hope,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,15,我比平时更容易烦躁,irritability,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,16,我觉得做决定并不困难,decision,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,17,我觉得自己是有用和被需要的,self_worth,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,18,我觉得生活是有意义的,meaning,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,19,我有过别人没有我会过得更好的想法,death_thought,False,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
SDS,Zung SDS 抑郁自评量表,20,我仍然喜欢平时喜欢的事情,interest,True,SDS_1_4,最近一段时间,原型中文改写版；正式部署请核对授权中文版
ISI,ISI 失眠严重程度指数,1,入睡困难的严重程度,insomnia,False,ISI_0_4,最近两周,原型中文改写版；正式部署请核对授权中文版/使用许可
ISI,ISI 失眠严重程度指数,2,睡眠维持困难的严重程度,insomnia,False,ISI_0_4,最近两周,原型中文改写版；正式部署请核对授权中文版/使用许可
ISI,ISI 失眠严重程度指数,3,早醒问题的严重程度,insomnia,False,ISI_0_4,最近两周,原型中文改写版；正式部署请核对授权中文版/使用许可
ISI,ISI 失眠严重程度指数,4,对当前睡眠状况的不满意程度,insomnia,False,ISI_0_4,最近两周,原型中文改写版；正式部署请核对授权中文版/使用许可
ISI,ISI 失眠严重程度指数,5,睡眠问题对日间功能的影响程度,insomnia,False,ISI_0_4,最近两周,原型中文改写版；正式部署请核对授权中文版/使用许可
ISI,ISI 失眠严重程度指数,6,他人能察觉到你的睡眠问题对生活质量的影响程度,insomnia,False,ISI_0_4,最近两周,原型中文改写版；正式部署请核对授权中文版/使用许可
ISI,ISI 失眠严重程度指数,7,你对当前睡眠问题的担心或痛苦程度,insomnia,False,ISI_0_4,最近两周,原型中文改写版；正式部署请核对授权中文版/使用许可
